,stats_id,weapon,initiated,strip_location,body_location,created_date
6,PastelAffectionateEuropeanpolecat,foil,fotr,middle,,1668270939
7,MeagerWaterloggedHornbill,foil,fotr,middle,,1668271296
8,MeagerWaterloggedHornbill,foil,fotr,middle,,1668271297
9,VerifiablePastelFlatfish,foil,fotl,middle,,1668272539
10,OpenDistinctIsabellineshrike,foil,neither,middle,,1668273183
11,OddSecondhandGallinule,foil,neither,middle,,1668273531
12,OddSecondhandGallinule,foil,neither,middle,,1668273531
13,ShrillFreshDalmatian,foil,fotr,middle,,1668277314
14,LinearFatalBaiji,foil,fotr,fotl_half,,1668296766
15,VictoriousHarmlessAmericanmarten,foil,fotr,fotl_half,,1668305872
16,CompassionateGreenAlligatorgar,foil,,,,1668326539
17,IckyAggravatingBergerpicard,foil,neither,middle,,1668328482
18,AliveIllfatedDromedary,foil,fotr,fotl_half,,1668328644
19,FaintBadAlbertosaurus,foil,,,,1668328861
20,FaintBadAlbertosaurus,foil,,,,1668328862
21,OccasionalWatchfulCommongonolek,foil,,,,1668329013
22,PastelAcceptableCreature,foil,fotl,fotr_half,,1668339770
23,KeenWeeHusky,foil,fotr,middle,,1668367715
24,RelievedFixedBoar,foil,fotr,fotr_half,,1668385424
25,PowerfulActualBushbaby,foil,,,,1668411616
26,WeirdDeliriousGroundhog,foil,,,,1668415584
27,EsteemedHatefulAsianconstablebutterfly,foil,,,,1668428505
28,RightTediousEasternnewt,foil,fotl,middle,,1668428580
29,FearfulAptAssassinbug,foil,fotr,middle,,1668429514
30,VillainousCelebratedGordonsetter,foil,neither,middle,,1668429718
31,FrailMisguidedAmericancreamdraft,foil,,,,1668441940
32,SoulfulRegalBigmouthbass,foil,,,,1668442080
33,AnotherSpanishErne,foil,,,,1668442386
34,InsidiousPowerlessCaribou,foil,fotr,middle,,1668454919
35,AgedPowerlessIvorygull,foil,fotl,fotr_half,,1668455003
36,BoilingDishonestHerculesbeetle,foil,fotl,fotr_half,,1668455173
37,ComposedMeatyAngelwingmussel,foil,fotr,fotl_half,,1668456881
38,PoliticalPopularAfricanbushviper,foil,fotr,fotl_half,,1668456999
39,CoarseClearIndianjackal,foil,fotr,fotl_warning_box,,1668458101
40,GoldenEagerAcornbarnacle,foil,neither,,,1668458275
41,DampRadiantCanine,foil,neither,,,1668458434
42,DampRadiantCanine,foil,neither,,,1668458435
43,MadUncommonEnglishsetter,foil,fotr,fotl_half,,1668476063
44,KindlyFlamboyantArctichare,foil,fotl,fotr_warning_box,,1668476245
45,DismalGranularLeafbird,foil,fotl,fotr_half,,1668476412
46,FrenchMagnificentArchaeopteryx,foil,fotl,middle,,1668476600
47,DeadlyTightBabirusa,foil,fotr,fotl_half,,1668476785
48,EcstaticPerfumedCalf,foil,fotr,middle,,1668476935
49,EminentOblongAsianpiedstarling,foil,fotr,middle,,1668477075
50,FewBlandElephant,foil,fotr,fotl_warning_box,,1668477243
51,AnchoredFaintBass,foil,fotl,middle,,1668477420
52,PerkyNearAmoeba,foil,fotr,middle,,1668477565
53,FearlessPresentCanvasback,foil,neither,middle,,1668477724
54,ComplexFloweryGrison,foil,fotr,fotl_warning_box,,1668477882
55,ObeseDifficultGadwall,foil,fotl,middle,,1668477995
56,ImmaculateClassicGnat,foil,fotl,middle,,1668478140
57,NewFemaleGoldfinch,foil,fotl,middle,,1668478309
58,ClassicGivingAmericanredsquirrel,foil,fotl,fotr_half,,1668478452
59,AcclaimedAdmirableBillygoat,foil,neither,fotl_warning_box,,1668478615
60,CookedWellwornJackal,foil,fotr,middle,,1668478747
61,WhirlwindAltruisticGarpike,foil,fotr,fotl_half,,1668481042
62,WhirlwindAltruisticGarpike,foil,fotr,fotl_half,,1668481044
63,MagnificentGorgeousFantail,foil,fotr,fotl_warning_box,,1668481447
64,FortunateMistyAndeancondor,foil,fotr,fotl_half,,1668488589
65,ColorlessRemorsefulArchaeocete,foil,,,,1668501492
66,EasyBrilliantGrackle,foil,,,,1668503980
67,DeliriousShorttermAnemonecrab,foil,fotl,middle,,1668515101
68,CluelessEquatorialGoitered,foil,fotr,fotl_warning_box,,1668515317
69,NextFabulousHomalocephale,foil,fotr,fotl_warning_box,,1668515440
70,FarawayShockingItalianbrownbear,foil,fotr,middle,,1668515582
71,DownrightSpottedDesertpupfish,foil,fotr,fotl_half,,1668515733
72,PitifulSlushyGoral,foil,fotr,middle,,1668515879
73,PoliteFeminineGuineafowl,foil,fotl,middle,,1668516003
74,SereneAltruisticBlueshark,foil,fotr,fotl_warning_box,,1668516167
75,PleasingUntidyAmericanbobtail,foil,fotl,middle,,1668516298
76,MealyFilthyAmericanbittern,foil,fotl,middle,,1668516428
77,SlushyGrayFrigatebird,foil,fotr,fotl_half,,1668516565
78,IndelibleWeakKomododragon,foil,fotr,middle,,1668517645
79,TatteredDentalBarnacle,foil,neither,fotl_half,,1668518508
80,CostlyYoungHarvestmouse,foil,fotr,fotl_warning_box,,1668518754
81,MiniatureFairInsect,foil,,,,1668527385
82,CorruptElegantAntipodesgreenparakeet,foil,fotl,fotr_half,,1668529406
83,IlliterateSpicyFieldspaniel,foil,fotl,fotl_half,,1668530622
84,PinkPaltryFantail,foil,neither,middle,,1668540784
85,EcstaticGrippingFlyinglemur,foil,fotl,fotl_warning_box,,1668544598
86,ComplexEvenEasternnewt,foil,fotl,fotr_half,,1668569308
87,ImpeccablePertinentBasilisk,foil,fotl,fotr_warning_box,,1668569886
88,FrankFancyBlackrussianterrier,foil,fotr,fotl_warning_box,,1668570053
89,ElatedSarcasticIndianpangolin,foil,,,,1668592905
90,AnchoredHeavyBrant,foil,,,,1668593094
91,AnimatedUglyKoala,epee,fotr,fotl_warning_box,torso,1668605793
92,AlarmedWickedFirebelliedtoad,epee,fotr,fotl_warning_box,torso,1668605972
93,RaggedMajorElephantseal,epee,fotr,fotl_warning_box,torso,1668606048
94,ObviousPerfumedBaleenwhale,foil,fotl,middle,,1668622572
95,ObviousPerfumedBaleenwhale,foil,fotl,middle,,1668622573
96,ObviousPerfumedBaleenwhale,foil,fotl,middle,,1668622573
97,ObviousPerfumedBaleenwhale,foil,fotl,middle,,1668622573
98,AdorableBitterEel,foil,fotr,middle,,1668628303
99,AdorableBitterEel,foil,fotr,middle,,1668628303
0,AshamedAdvancedHadrosaurus,foil,,,,1668634599
1,UnevenBrightHornet,foil,,,,1668661164
2,TanHardGoldenretriever,foil,,,,1668670643
3,SpiritedColossalCrow,foil,,,,1668676807
4,ExemplaryDisguisedDogwoodclubgall,foil,,,,1668683960
5,RichSoupyKid,foil,fotr,middle,,1668706585
6,FixedJampackedButterfly,foil,fotr,fotr_half,,1668706773
7,TallWeepyInsect,foil,,,,1668715809
8,TallWeepyInsect,foil,,,,1668715809
9,CandidEmbarrassedDarklingbeetle,foil,,,,1668762586
10,DimpledDampFennecfox,foil,,,,1668770294
11,SelfreliantSevereIcterinewarbler,foil,,,,1668799212
12,DistinctObviousCrocodileskink,foil,,,,1668812333
13,HiddenSociableDragonfly,foil,fotl,middle,,1668835835
14,InfinitePalatableAustralianfreshwatercrocodile,foil,fotr,fotr_half,,1668851127
15,DazzlingLikableEidolonhelvum,foil,,,,1668865803
16,DelayedYawningLeafhopper,foil,,,,1668866019
17,HarmfulIllegalDolphin,foil,,,,1668880601
18,TameCreativeAmericanbobtail,epee,fotr,middle,front_arm,1668893340
19,WhichHeartyEasternglasslizard,foil,fotl,fotl_warning_box,,1668911067
20,WanThriftyDutchsmoushond,foil,fotl,fotl_warning_box,,1668911292
21,UnlawfulIncompleteChipmunk,foil,,,,1668923198
22,AffectionateIllAiredale,foil,,,,1668938362
23,ElaborateLittleHarborporpoise,foil,,,,1668964239
24,OffensiveDimpledBorderterrier,foil,fotr,fotl_warning_box,,1668964823
25,PowerlessSickCowrie,foil,fotr,middle,,1668971451
26,BriefMarvelousFugu,foil,fotl,middle,,1668971555
27,FearlessJitteryArcherfish,foil,fotl,fotr_warning_box,,1668971673
28,PrestigiousLonelyAnemoneshrimp,foil,fotl,middle,,1669005831
29,UnkemptWhichAfricanfisheagle,foil,fotl,middle,,1669006129
30,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011643
31,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011644
32,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011644
33,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011644
34,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011644
35,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011644
36,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011645
37,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011645
38,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011702
39,IncomparableMediocreKagu,foil,fotl,fotl_warning_box,,1669011702
40,TangibleIdealFruitfly,foil,fotl,fotr_half,,1669021504
41,ClutteredAdorableCrow,foil,fotl,fotr_half,,1669021830
42,BlushingHonestBlowfish,foil,,,,1669030903
43,IdealisticMediocreAmericantoad,foil,,,,1669043894
44,AbsoluteRecklessApatosaur,foil,fotl,middle,,1669044140
45,EthicalBraveDeinonychus,foil,fotl,middle,,1669044476
46,SlimyBlondHackee,foil,,,,1669046814
47,SameMagnificentFritillarybutterfly,foil,fotr,fotl_half,,1669125273
48,ScholarlyQuickLeafwing,foil,fotl,middle,,1669125653
49,AstonishingKeenGnat,foil,,,,1669147474
50,ReadyNeedyDormouse,foil,fotr,fotl_half,,1669215317
51,GrimVapidAmericanbadger,foil,fotr,fotr_half,,1669215434
52,ShowyFlawlessAlbertosaurus,foil,fotr,middle,,1669218916
53,EssentialGrandioseGull,foil,fotl,fotr_half,,1669260681
54,EssentialGrandioseGull,foil,fotl,fotr_half,,1669260681
55,PertinentIllBelugawhale,foil,fotr,fotl_warning_box,,1669261034
56,TallUntimelyBorzoi,foil,,,,1669361748
57,WellgroomedLightheartedHart,foil,neither,,,1669380543
58,UnlinedParchedAfricanjacana,foil,,,,1669382474
59,GranularGraciousGodwit,foil,neither,fotl_warning_box,,1669401089
60,BoilingAngryHawaiianmonkseal,foil,fotl,fotr_warning_box,torso,1669403972
61,SlightPossibleDeermouse,foil,,,,1669410422
62,WearyInfamousAmphiuma,foil,fotl,fotr_warning_box,,1669416115
63,PlayfulBestAtlanticsharpnosepuffer,foil,,,,1669416304
64,PlayfulBestAtlanticsharpnosepuffer,foil,,,,1669416304
65,FlickeringImprobableBlobfish,foil,fotl,fotl_half,,1669432321
66,AbandonedAptEasternglasslizard,sabre,fotl,middle,front_arm,1669432509
67,WarpedUnrulyEider,foil,fotl,middle,torso,1669432716
68,FrailUnfinishedAmericancreamdraft,foil,fotl,middle,torso,1669432860
69,SeparateSharpHeron,foil,fotr,middle,torso,1669432890
70,ThornyTepidAlaskankleekai,foil,fotl,fotr_half,torso,1669432917
71,NegativeScalyBobwhite,foil,fotr,fotl_warning_box,torso,1669433002
72,UnselfishDeliciousElephantbeetle,foil,fotl,middle,torso,1669433127
73,AnxiousFlatJay,foil,fotl,fotr_half,torso,1669433173
74,CreepyBasicCanary,foil,fotl,middle,,1669433349
75,WholeMeagerCat,foil,fotl,middle,,1669435546
76,ThriftyInsidiousAfricanpiedkingfisher,foil,,,,1669483459
77,TerribleBowedIchthyostega,foil,fotl,fotl_half,,1669495385
78,GiftedUnsungIrrawaddydolphin,foil,fotr,fotl_half,,1669513451
79,EmotionalNiceGreatargus,foil,fotl,middle,,1669530930
80,TintedAppropriateArgusfish,foil,,,,1669549326
81,FragrantGorgeousEmu,foil,fotr,middle,,1669586171
82,BeautifulHollowGrayling,foil,,,,1669591342
83,CloseSomberAxisdeer,foil,,,,1669591607
84,AcceptableDelightfulLice,foil,,,,1669606891
85,PointedHeartfeltDaddylonglegs,foil,,,,1669607010
86,DimpledGrandioseFinch,foil,,,,1669625381
87,OffbeatUnfinishedAnemone,foil,,,,1669654014
88,AbandonedOfficialAnophelesmosquito,sabre,fotr,fotl_half,torso,1669674649
89,FarUnlinedEgg,foil,fotr,middle,torso,1669674694
90,AmazingDesertedAtlanticblackgoby,sabre,fotr,middle,torso,1669674806
91,SomberFrequentIcefish,foil,fotl,fotl_warning_box,,1669712543
92,SomberFrequentIcefish,foil,fotl,fotl_warning_box,,1669712544
93,UnfitBonyLiger,foil,,,,1669716360
94,AngryFrayedAntelopegroundsquirrel,foil,,,,1669716515
95,FarGorgeousCob,foil,,,,1669729747
96,ApprehensiveEdibleCanvasback,foil,fotl,middle,,1669735344
97,HorribleRemarkableItalianbrownbear,foil,fotl,fotr_warning_box,,1669735502
98,ShowyPortlyIcelandgull,foil,fotr,middle,,1669747363
99,QueasyMiniatureBaboon,foil,fotr,middle,,1669747599
0,ZanyAlarmingChinesecrocodilelizard,foil,neither,fotr_half,,1669747830
1,WigglyExemplaryAlpaca,foil,fotl,fotr_half,,1669754736
2,DeadRegularAngelwingmussel,foil,fotl,fotr_warning_box,,1669754939
3,OrganicGrandioseElver,foil,fotl,middle,,1669781886
4,MiserlyLimitedHaddock,foil,,,,1669801268
5,SpecificInsecureAquaticleech,foil,fotr,fotl_warning_box,torso,1669804091
6,ArtisticThreadbareBuffalo,foil,,,,1669807430
7,WaterloggedFirstAmericanshorthair,foil,fotl,fotr_half,,1669808676
8,WaterloggedFirstAmericanshorthair,foil,fotl,fotr_half,,1669808676
9,FinishedScrawnyAmericanshorthair,foil,,,,1669813734
10,TatteredCriminalArieltoucan,foil,fotl,fotr_warning_box,,1669831621
11,SorrowfulBrownConure,foil,,,,1669866771
12,SpeedyBouncyBlackrhino,foil,fotr,middle,,1669866949
13,AbandonedAbandonedFurseal,sabre,fotl,middle,torso,1669912773
14,LongCleverBird,foil,fotr,fotr_half,,1669916042
15,WindyBitesizedGecko,foil,fotr,fotl_half,,1669921174
16,EducatedGivingBoubou,foil,neither,fotr_half,,1669921680
17,EdibleDimpledAustraliansilkyterrier,foil,,,,1669922197
18,DopeyDeafeningArcticduck,foil,,,,1669922357
19,ConsciousUnsightlyHake,foil,fotl,fotl_half,,1669959857
20,EntireElaborateAmericanshorthair,foil,fotr,middle,,1669967472
21,HappygoluckyTallHamadryas,foil,fotl,fotr_half,,1669967706
22,UnsightlyAffectionateGrackle,foil,fotr,middle,,1669968005
23,SphericalDistantEquestrian,foil,fotl,middle,,1669968215
24,InnocentVigilantAnglerfish,foil,fotr,middle,,1669968530
25,UnitedHorribleAustralianfreshwatercrocodile,foil,fotr,middle,,1669993093
26,IllUnawareAngelwingmussel,foil,,,,1670055188
27,MetallicObeseHarvestmen,foil,,,,1670055311
28,ShimmeringInferiorIceblueredtopzebra,foil,,,,1670055430
29,BeneficialDescriptiveGalapagospenguin,foil,,,,1670055569
30,WarpedPointedCougar,foil,,,,1670055677
31,VengefulMetallicDonkey,foil,,,,1670055802
32,ExcellentZealousLiger,foil,fotr,fotr_half,,1670076722
