,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
4826,14,WelltodoPerkyJaguar,sabre,fotl,middle,front_arm,1700428581,WelltodoPerkyJaguar,algierssabre2022,sabre,female,Paola Pliego,Yoon Jisu,11,14,right,https://clips.fencingdatabase.com/algierssabre2022/WelltodoPerkyJaguar.mp4
4827,15,IllfatedFarflungAlbacoretuna,sabre,fotr,middle,torso,1700428625,IllfatedFarflungAlbacoretuna,algierssabre2022,sabre,male,Tokunan Kenta,Lorenz Kempf,9,9,left,https://clips.fencingdatabase.com/algierssabre2022/IllfatedFarflungAlbacoretuna.mp4
4828,16,GiganticForkedKusimanse,sabre,fotr,middle,torso,1700428667,GiganticForkedKusimanse,algierssabre2022,sabre,female,Pamela Brindamour,Nisanur Erbil,9,10,right,https://clips.fencingdatabase.com/algierssabre2022/GiganticForkedKusimanse.mp4
4829,17,BlackPotableCurlew,sabre,fotr,fotl_warning_box,torso,1700428713,BlackPotableCurlew,algierssabre2022,sabre,female,Yoon Jisu,Nisanur Erbil,3,2,left,https://clips.fencingdatabase.com/algierssabre2022/BlackPotableCurlew.mp4
4830,19,SafeFaintBlackrhino,sabre,fotl,middle,torso,1700428915,SafeFaintBlackrhino,algierssabre2022,sabre,female,Sara Balzer,Rebecca Gargano,3,5,left,https://clips.fencingdatabase.com/algierssabre2022/SafeFaintBlackrhino.mp4
4831,20,JampackedEnviousBlackrussianterrier,sabre,fotr,fotr_warning_box,torso,1700428955,JampackedEnviousBlackrussianterrier,algierssabre2022,sabre,female,Martina Criscio,Emura Misaki,2,4,left,https://clips.fencingdatabase.com/algierssabre2022/JampackedEnviousBlackrussianterrier.mp4
4832,21,DeadlyThisGalapagoshawk,sabre,fotr,middle,front_arm,1700429006,DeadlyThisGalapagoshawk,algierssabre2022,sabre,female,Theodora Gkountoura,Mukae Ayaka,4,2,left,https://clips.fencingdatabase.com/algierssabre2022/DeadlyThisGalapagoshawk.mp4
4833,22,BountifulFondHadrosaurus,sabre,fotr,middle,torso,1700429048,BountifulFondHadrosaurus,algierssabre2022,sabre,female,Sara Balzer,Michela Battiston,11,12,right,https://clips.fencingdatabase.com/algierssabre2022/BountifulFondHadrosaurus.mp4
4834,23,FoolishPossibleFossa,sabre,fotr,fotr_warning_box,foot,1700429090,FoolishPossibleFossa,algierssabre2022,sabre,female,Sara Balzer,Rebecca Gargano,11,8,left,https://clips.fencingdatabase.com/algierssabre2022/FoolishPossibleFossa.mp4
4836,27,AnyComfortableIberianmidwifetoad,sabre,fotr,middle,hand,1700970975,AnyComfortableIberianmidwifetoad,algierssabre2022,sabre,female,Despina Georgiadou,Zhuang Chenyi,13,5,left,https://clips.fencingdatabase.com/algierssabre2022/AnyComfortableIberianmidwifetoad.mp4
4837,28,GrimHardtofindCrustacean,sabre,fotr,fotr_warning_box,torso,1700971028,GrimHardtofindCrustacean,algierssabre2022,sabre,female,Theodora Gkountoura,Saoussen Boudiaf,3,4,left,https://clips.fencingdatabase.com/algierssabre2022/GrimHardtofindCrustacean.mp4
