,gfycat_gfy_id,tournament_id,weapon,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,ZanyImpeccableIndianskimmer,doha2019,epee,,Federico Vismara,Park Sangyoung,6,8,right,https://clips.fencingdatabase.com/doha2019/ZanyImpeccableIndianskimmer.mp4
0,DisfiguredSorrowfulAmericanblackvulture,budapestwch2019,epee,male,Minobe Kazuyasu,Ho Tin Ng,8,8,right,https://clips.fencingdatabase.com/budapestwch2019/DisfiguredSorrowfulAmericanblackvulture.mp4
0,MaleCharmingCub,cairosabre2019,sabre,male,Ali Pakdaman,Aldo Montano,1,1,right,https://clips.fencingdatabase.com/cairosabre2019/MaleCharmingCub.mp4
0,DelayedDefenselessArctichare,montrealsabre2020,sabre,male,Sandro Bazadze,Enver Yildirim,11,9,left,https://clips.fencingdatabase.com/montrealsabre2020/DelayedDefenselessArctichare.mp4
0,UnrealisticElaborateAlligator,cancunsabre2017,sabre,female,Chloe Foxgitomer,Caroline Queroli,5,4,left,https://clips.fencingdatabase.com/cancunsabre2017/UnrealisticElaborateAlligator.mp4
0,PointedFrighteningCurlew,turinfoil2020,foil,,Alexander Choupenitch,Gerek Meinhardt,6,8,right,https://clips.fencingdatabase.com/turinfoil2020/PointedFrighteningCurlew.mp4
0,ElderlyForthrightFerret,doha2017,epee,,Marco Fichera,Hoi Sun Fong,-1,-1,double,https://clips.fencingdatabase.com/doha2017/ElderlyForthrightFerret.mp4
0,SmallMeekInganue,tallinn2019,epee,female,Tatiana Gudkova,Lin Sheng,2,6,right,https://clips.fencingdatabase.com/tallinn2019/SmallMeekInganue.mp4
0,FreeDirectAdder,cairosabre2019,sabre,male,Eli Dershwitz,Jung Jaeseung,8,9,right,https://clips.fencingdatabase.com/cairosabre2019/FreeDirectAdder.mp4
0,PartialImmediateGreatargus,budapestsabre2019,sabre,male,Mohammad Fotouhi,Tiberiu Dolniceanu,12,15,right,https://clips.fencingdatabase.com/budapestsabre2019/PartialImmediateGreatargus.mp4
0,ActualBlackHamadryad,barcelona2016,epee,female,Szaszkovacs Emese,Coraline Vitalis,9,8,right,https://clips.fencingdatabase.com/barcelona2016/ActualBlackHamadryad.mp4
0,TightMilkyDouglasfirbarkbeetle,cali2019,epee,,Katrina Lehis,Federica Isola,5,6,right,https://clips.fencingdatabase.com/cali2019/TightMilkyDouglasfirbarkbeetle.mp4
0,BowedPeacefulAmericanmarten,budapestwch2019,epee,male,Benjamin Steffen,Gabriele Cimini,4,7,right,https://clips.fencingdatabase.com/budapestwch2019/BowedPeacefulAmericanmarten.mp4
0,CreepyHollowBinturong,dubai2018,epee,female,Yik Hei Coco Lin,Zhu Mingye,6,9,right,https://clips.fencingdatabase.com/dubai2018/CreepyHollowBinturong.mp4
0,DefinitePolishedGrasshopper,seoulsabre2019,sabre,female,Teodora Kakhiani,Shao Yaqi,10,14,right,https://clips.fencingdatabase.com/seoulsabre2019/DefinitePolishedGrasshopper.mp4
0,WindyPlainKid,barcelona2018,epee,female,Inna Brovko,Mara Navarria,14,14,left,https://clips.fencingdatabase.com/barcelona2018/WindyPlainKid.mp4
